Центральный федеральный округ,"105,3","107,6","113,4"
Белгородская область,"101,6","105,8","106,2"
Брянская область,"102,3","104,0","105,5"
Владимирская область,"105,4","113,7","110,9"
Воронежская область,"104,4","107,4","114,7"
Ивановская область,"104,7","95,8","107,2"
Калужская область,"103,9","101,4","103,8"
Костромская область,"103,0","106,0","108,0"
Курская область,"103,1","113,5","112,7"
Липецкая область,"100,6",1112,"111,6"
Московская область,1051,"107,6","113,1"
Орловская область,"100,6","104,6","107,6"
Рязанская область,"104,8","114,0","116,9"
Смоленская область,"103,8","108,1","112,4"
Тамбовская область,"102,8","109,2","112,5"
Тверская область,"106,0","114,0","123,5"
Тульская область,"106,6","115,9","123,1"
Ярославская область,"108,7","108,4","106,8"
Город Москва,"106,6","106,6","114,5"
